numeroMuseo	numeroCampo	reino	filum	clase	orden	familia	genero	especie	continente	pais	provincia	canton	parroquia	localidad	localidadVerbatim	fuenteCoordenadas	altitudMax	altitudMin	datum	latitude	longitude	estadoDeterminacion	fechaInicioColeccion	fechaFinColeccion	fechaVerbatim	subespecie	variedad	forma	colector	fechaIdentificacion	tejidos	tipo	cita
QCA138123	3637	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Parkia	Indeterminado		Ecuador	Napo	Desconocido	Desconocido	Cordillera Galeras.	Cordillera Galeras. 0°50''' 77°32''' -0.833333,-77.5333 SW 1560 		1560			-0.833333	-77.5333		2008-04-03T00:00:00	2008-04-03T00:00:00					J. Homeier		0			
QCA138725	3820	Plantae	Tracheophyta	Magnoliopsida	Rosales	Moraceae	Pseudolmedia	laevis		Ecuador	Napo	Desconocido	Desconocido	Area of the Biological Station Jatun Sacha.	Area of the Biological Station Jatun Sacha. 1°4''' 77°37''' -1.06667,-77.6167 SW 420 		420			-1.06667	-77.6167		2008-04-09T00:00:00	2008-04-09T00:00:00					J. Homeier		0			
QCA139117	2351	Plantae	Tracheophyta	Magnoliopsida	Rosales	Moraceae	Sorocea	steinbachii		Ecuador	Napo	Desconocido	Desconocido	Parque Nacional Sumaco Galeras, cordillera Galleras.	Parque Nacional Sumaco Galeras, cordillera Galleras. 0°49'0'' 77°35'0'' -0.816667,-77.5833 SW 1060 1060		1060	1060		-0.816667	-77.5833		2006-04-16T00:00:00	2006-04-16T00:00:00					J. Homeier	2009-01-01T00:00:00	0			
QCA139323	2209	Plantae	Tracheophyta	Magnoliopsida	Rosales	Moraceae	Sorocea	trophoides		Ecuador	Napo	Desconocido	Desconocido	Cordillera de Guacamayos, close to road Cosanga Tena.	Cordillera de Guacamayos, close to road Cosanga Tena. 0°41'0'' 77°48'0'' -0.683333,-77.8 SW 1490 		1490			-0.683333	-77.8		2006-03-31T00:00:00	2006-03-31T00:00:00					J. Homeier	2006-01-01T00:00:00	0			
QCA139450	3634	Plantae	Tracheophyta	Magnoliopsida	Ericales	Sapotaceae	Indeterminado	Indeterminado		Ecuador	Napo	Desconocido	Desconocido	Cordillera Galleras.	Cordillera Galleras. 0°50'0'' 77°33'0'' -0.833333,-77.55 SW 1450 		1450			-0.833333	-77.55		2008-04-03T00:00:00	2008-04-03T00:00:00					J. Homeier		0			
QCA139524	3603	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Inga	extra-nodis		Ecuador	Napo	Desconocido	Desconocido	Cordillera Galeras.	Cordillera Galeras. 0°50''' 77°32''' -0.833333,-77.5333 SW 1590 		1590			-0.833333	-77.5333		2008-04-02T00:00:00	2008-04-02T00:00:00					J. Homeier	2008-01-01T00:00:00	0			
QCA139642	3810	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Abarema	ferruginea		Ecuador	Napo	Desconocido	Desconocido	Area of the biological station Jatun Sacha.	Area of the biological station Jatun Sacha. 1°4'0'' 77°37'0'' -1.06667,-77.6167 SW 420 		420			-1.06667	-77.6167		2008-04-09T00:00:00	2008-04-09T00:00:00					J. Homeier		0			
QCA139705	3804	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Myristicaceae	Virola	theiodora		Ecuador	Napo	Desconocido	Desconocido	Area of the biological station Jatun Sacha.	Area of the biological station Jatun Sacha. 1°4'0'' 77°37'0'' -1.06667,-77.6167 SW 420 		420			-1.06667	-77.6167		2008-04-09T00:00:00	2008-04-09T00:00:00					J. Homeier		0			
QCA139889	2239	Plantae	Tracheophyta	Magnoliopsida	Ericales	Myrsinaceae	Cybianthus	peruvianus		Ecuador	Napo	Desconocido	Desconocido	Cordillera de los Guacamayos, 6km SE of Cosanga.	Cordillera de los Guacamayos, 6km SE of Cosanga. 0°38''' 77°50''' -0.633333,-77.8333 SW 1990 		1990			-0.633333	-77.8333		2006-04-01T00:00:00	2006-04-01T00:00:00					J. Homeier		0			
QCA139921	2256	Plantae	Tracheophyta	Magnoliopsida	Ericales	Myrsinaceae	Cybianthus	sprucei		Ecuador	Napo	Desconocido	Desconocido	Southern slope of Sumaco volcano.	Southern slope of Sumaco volcano. 0°37'0'' 77°35'0'' -0.616667,-77.5833 SW 1590 		1590			-0.616667	-77.5833		2006-04-07T00:00:00	2006-04-07T00:00:00					J. Homeier		0			
QCA139961	3896	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Inga	thibaudiana		Ecuador	Napo	Desconocido	Desconocido	Area of the Selva Viva.	Area of the Selva Viva. 1°4''' 77°31''' -1.06667,-77.5167 SW 510 		510			-1.06667	-77.5167		2008-04-11T00:00:00	2008-04-11T00:00:00					J. Homeier		0			
QCA139963	2349	Plantae	Tracheophyta	Magnoliopsida	Ericales	Myrsinaceae	Cybianthus	Indeterminado		Ecuador	Napo	Desconocido	Desconocido	Cordillera Galeras.	Cordillera Galeras. 0°50'0'' 77°34'0'' -0.833333,-77.5667 SW 1230 		1230			-0.833333	-77.5667		2006-04-16T00:00:00	2006-04-16T00:00:00					J. Homeier		0			
QCA140268	3613	Plantae	Tracheophyta	Magnoliopsida	Ericales	Myrsinaceae	Myrsine	latifolia		Ecuador	Napo	Desconocido	Desconocido	Cordillera Galeras.	Cordillera Galeras. 0°50''' 77°32''' -0.833333,-77.5333 SW 1590 		1590			-0.833333	-77.5333		2008-04-02T00:00:00	2008-04-02T00:00:00					J. Homeier		0			
