Site,Plot,PlotID,Year,Sample_ID,old_treeID,new_TreeID,family,genus,species,Type,C_percent,d13C_permil,N_percent,Cb_percent,d15N_permil,bulk_d13C_permil,herbarium_id,source_file,Elevation_m
Galeras,23.0,Galeras_23,2006,p23-561,561.0,8976.0,Rubiaceae,Faramea,multiflora,leaf pulverized,43.6899713373284,-31.6264690294987,,,,,2022,Galeras_cellulose.xlsx,1000.0
Galeras,29.0,Galeras_29,2006,p29-763,763.0,,Myrtaceae,Eugenia,,leaf pulverized,48.0030201741165,-32.7973936923775,2.579598920779343,45.82337848686749,5.863820335636722,-33.21614289346554,3785,Galeras_cellulose.xlsx,1000.0
Galeras,29.0,Galeras_29,2006,p29-768,768.0,,Violaceae,Leonia,glycycarpa,leaf pulverized,43.3065397064424,-29.5119266331101,2.231557524679357,44.831970373097576,2.002339585389931,-32.20649122807017,,Galeras_cellulose.xlsx,1000.0
Galeras,29.0,Galeras_29,2006,p29-777,777.0,,Anacardiaceae,Tapirira,guianensis,leaf pulverized,44.474674657016,-29.3530869451066,2.035340091603006,46.50258464179985,0.9106120434353404,-30.9289727943046,3790,Galeras_cellulose.xlsx,1000.0
Galeras,29.0,Galeras_29,2006,p29-781,781.0,,Phyllanthaceae,Margaritaria,nobilis,leaf pulverized,43.9302353069817,-32.7362039798789,3.035487404832049,44.38047110709548,1.769842053307009,-33.76217899822018,3792,Galeras_cellulose.xlsx,1000.0
Galeras,23.0,Galeras_23,2006,p23-560,560.0,8982.0,Sapotaceae,Lucuma,multiflora,leaf pulverized,39.8249429922284,-29.806737041431,2.329127489213705,45.75489192207366,2.326812176909822,-31.96725832878209,3740,Galeras_cellulose.xlsx,1000.0
Galeras,24.0,Galeras_24,2006,p24-596,596.0,,Lacistemataceae,Lacistema,,leaf pulverized,44.8594569938198,-30.0710220971368,1.9284466786336578,42.7318833293711,-1.860850086157381,-31.41884606382149,2070,Galeras_cellulose.xlsx,1000.0
Galeras,24.0,Galeras_24,2006,p24-595,595.0,8654.0,Phyllanthaceae,Hieronyma,oblonga,leaf pulverized,44.1506423229927,-31.1408309707465,1.792686443191889,43.10417131105663,-1.99,-32.18,3689,Galeras_cellulose.xlsx,1000.0
Galeras,24.0,Galeras_24,2006,p24-586,586.0,,Phyllanthaceae,Hieronyma,oblonga,leaf pulverized,43.0454571079634,-29.0879635790358,2.3500031065635008,44.33682462362868,-0.4878460654796098,-31.18951002574706,,Galeras_cellulose.xlsx,1000.0
Galeras,24.0,Galeras_24,2006,p24-586,586.0,8638.0,Phyllanthaceae,Hieronyma,asperifolia,leaf pulverized,43.0454571079634,-29.0879635790358,2.3500031065635008,44.33682462362868,-0.4878460654796098,-31.18951002574706,,Galeras_cellulose.xlsx,1000.0
Galeras,24.0,Galeras_24,2006,p24-583,583.0,,Lauraceae,Ocotea,floribunda,leaf pulverized,45.527935008181,-29.6269552131774,1.405546410699842,49.02381907905758,-1.26,-32.44,3683,Galeras_cellulose.xlsx,1000.0
Galeras,29.0,Galeras_29,2006,p29-795,795.0,,Annonaceae,Guatteria,cf multivenia,leaf pulverized,44.1960844937982,-31.3592608763461,1.533899739410874,43.53491938687814,0.4046065479609418,-32.85468908480924,3797,Galeras_cellulose.xlsx,1000.0
Galeras,22.0,Galeras_22,2006,p22-543,543.0,8962.0,Fabaceae,Jupunba,trapezifolia var. micradenia,leaf pulverized,43.4886846365052,-30.8130786583592,2.829417692417514,45.816205634993764,1.91,-31.89,2037,Galeras_cellulose.xlsx,1000.0
Galeras,22.0,Galeras_22,2006,p22-538,538.0,,Sapindaceae,Allophylus,sp Galeras,leaf pulverized,44.1716029263925,-30.2827231573956,2.171498443086809,44.35332220175985,1.37,-32.59,,Galeras_cellulose.xlsx,1000.0
Galeras,23.0,Galeras_23,2006,p23-559,559.0,8983.0,Lecythidaceae,Grias,peruviana,leaf pulverized,44.3129749791381,-29.5889762264672,1.904069946879364,43.75015651279461,1.112783810463968,-30.72292143401983,3739,Galeras_cellulose.xlsx,1000.0
Galeras,23.0,Galeras_23,2006,p23-556,556.0,,Lauraceae,Pleurothyrium,insigne,leaf pulverized,45.0467775205119,-30.9498434726661,2.149380544039524,47.00220860030788,1.079666858127513,-32.15670983849575,2024,Galeras_cellulose.xlsx,1000.0
Galeras,22.0,Galeras_22,2006,p22-546,546.0,,Violaceae,Gloeospermum,equatoriense,leaf pulverized,43.3392562736045,-31.7256951940085,2.301483593866714,40.932675336593825,2.58,-31.98,2049,Galeras_cellulose.xlsx,1000.0
Galeras,22.0,Galeras_22,2006,p22-525,525.0,8948.0,Simaroubaceae,,,leaf pulverized,43.5026863007063,-28.6154153781686,1.493137378613984,44.97232382273588,2.14,-30.33,,Galeras_cellulose.xlsx,1000.0
Galeras,29.0,Galeras_29,2006,p29-762,762.0,,Lacistemataceae,Lozania,mutisiana,leaf pulverized,42.9007810460878,-31.0084336493908,1.938491045921905,44.80625894250169,0.2131194471865744,-32.38163488431223,3784,Galeras_cellulose.xlsx,1000.0
Galeras,29.0,Galeras_29,2006,p29-793,793.0,,Fabaceae,Inga,capitata,leaf pulverized,44.284787471556,-30.8766537667956,2.519147473075972,43.89243632531962,3.417541954590325,-32.61859394863971,,Galeras_cellulose.xlsx,1000.0
Galeras,22.0,Galeras_22,2006,p22-541,541.0,,Meliaceae,Guarea,silvatica,leaf pulverized,44.7628534294191,-31.1345305708987,2.933085063780434,45.24764801394821,2.99,-32.34,2053,Galeras_cellulose.xlsx,1000.0
Galeras,24.0,Galeras_24,2006,p24-580,580.0,8641.0,Moraceae,Sorocea,sp,leaf pulverized,42.1128334332028,-31.3205747520526,1.798726840614421,39.19901680145296,0.66,-31.65,,Galeras_cellulose.xlsx,1000.0
Galeras,24.0,Galeras_24,2006,p24-585,585.0,8639.0,Lacistemataceae,Lozania,klugii,leaf pulverized,44.1163789549339,-31.5193635659915,1.698222842469201,44.12495801037915,-2.14,-32.91,2083,Galeras_cellulose.xlsx,1000.0
Galeras,22.0,Galeras_22,2006,p22-522,522.0,,Myristicaceae,Virola,calophylla,leaf pulverized,44.3087215329995,-29.5363538839223,2.629721406005764,41.389200937081,4.52,-30.8,David,Galeras_cellulose.xlsx,1000.0
Galeras,24.0,Galeras_24,2006,p24-598,598.0,8651.0,Caryocaraceae,Caryocar,glabrum,leaf pulverized,44.3600284136341,-29.1569031533291,1.449108009791741,42.71889469030765,-2.959253302699598,-29.61407115549661,2069,Galeras_cellulose.xlsx,1000.0
Galeras,24.0,Galeras_24,2006,p24-611,611.0,8643.0,Melastomataceae,,,leaf pulverized,45.1697260885546,-27.8951960529949,1.605533186563507,37.8851131355276,-0.9912808730614592,-29.59412889131622,2067,Galeras_cellulose.xlsx,1000.0
Galeras,29.0,Galeras_29,2006,p29-794,794.0,,Moraceae,Sorocea,trophoides,leaf pulverized,43.5287581436233,-31.4707104604046,1.8333119341279909,34.8947582234213,1.171200459506031,-31.807720215339,2502,Galeras_cellulose.xlsx,1000.0
Galeras,29.0,Galeras_29,2006,p29-779,779.0,,Fabaceae,Inga,,leaf pulverized,43.9631431367933,-30.1573199362308,2.702442573378589,45.603089407575546,4.883287265547877,-32.2683066361556,3791,Galeras_cellulose.xlsx,1000.0
Galeras,22.0,Galeras_22,2006,p22-537,537.0,8957.0,Lauraceae,Ocotea,oblonga,leaf pulverized,43.4767657286995,-28.6321393767579,2.364852931434891,48.77399996473799,-0.98,-31.22,2047,Galeras_cellulose.xlsx,1000.0
Galeras,22.0,Galeras_22,2006,p22-548,548.0,,Sapotaceae,Chrysophyllum,venezuelanense,leaf pulverized,47.9929624870333,-30.2274375568906,1.382059850956835,45.46028314845653,0.3,-32.55,same as 3745,Galeras_cellulose.xlsx,1000.0
Galeras,24.0,Galeras_24,2006,p24-592,592.0,8656.0,Rubiaceae,,,leaf pulverized,43.4558903121359,-29.0353282449297,3.436025577825637,47.26888591846104,-0.22,-31.74,3686,Galeras_cellulose.xlsx,1000.0
Galeras,24.0,Galeras_24,2006,p24-584,584.0,,Vochysiaceae,,,leaf pulverized,43.7746904746501,-30.6557937400044,1.440119444329544,45.831377390414566,-0.85,-32.36,2079,Galeras_cellulose.xlsx,1000.0
Galeras,24.0,Galeras_24,2006,p24-584,584.0,8640.0,Vochysiaceae,,,leaf pulverized,43.7746904746501,-30.6557937400044,1.440119444329544,45.831377390414566,-0.85,-32.36,,Galeras_cellulose.xlsx,1000.0
Galeras,22.0,Galeras_22,2006,p22-535,535.0,8955.0,Myristicaceae,Virola,calophylla,leaf pulverized,45.804659120635,-30.1744819622071,2.359741981000591,47.3618494870587,2.76,-31.05,2045,Galeras_cellulose.xlsx,1000.0
Galeras,23.0,Galeras_23,2006,p23-565,565.0,8972.0,Meliaceae,Guarea,pterorhachis,,,,2.02588111216678,45.35337885511843,0.2100976450315908,-33.00425606616213,,Galeras_cellulose.xlsx,1000.0
